pregunta,kcal_real,texto_ref,respuesta_rag,kcal_rag,mape_rag,error_abs_rag,coseno_rag,tiempo_rag,clasif_rag,respuesta_gpt,kcal_gpt,mape_gpt,error_abs_gpt,coseno_gpt,tiempo_gpt,clasif_gpt,respuesta_claude,kcal_claude,mape_claude,error_abs_claude,coseno_claude,tiempo_claude,clasif_claude,tokens_in_rag,tokens_out_rag,tokens_in_gpt,tokens_out_gpt,tokens_in_claude,tokens_out_claude,score_similitud_rag,chunks_recuperados_rag,kcal_fuente_rag,claude_model_usado
¿Cuántas calorías tiene la quinua por 100 gramos según la TPCA del CENAN?,351,"La quinua contiene 351 kcal por 100g según la TPCA CENAN/INS 2025. Aporta 13.6g de proteínas, 5.8g de grasas y 66.6g de carbohidratos disponibles. Tiene 5.9g de fibra dietaria. Es un alimento de alto valor nutricional.",La quinua contiene 351 kcal por 100g según la TPCA CENAN/INS.,89.0,74.64387464387464,262.0,0.3778292937547414,11093.412599999283,Revisar,"Calorías: 368 kcal  
La quinua es un pseudocereal altamente nutritivo, y según la TPCA del CENAN, contiene aproximadamente 368 calorías por cada 100 gramos. Es una excelente fuente de proteínas, fibra y varios micronutrientes, lo que la convierte en un alimento muy valorado en dietas saludables.",368.0,4.843304843304843,17.0,0.1916308348710439,3898.049899999023,Excelente,"Calorías: 368 kcal

La quinua cocida contiene aproximadamente 120 kcal por 100 gramos, mientras que la quinua cruda tiene alrededor de 368 kcal por 100 gramos según datos nutricionales estándar.

Sin embargo, debo ser explícito: no tengo acceso directo a la TPCA (Tabla Peruana de Composición de Alimentos) del CENAN para verificar el valor exacto que ellos reportan. El valor de 368 kcal corresponde a quinua cruda en bases de datos internacionales, pero la TPCA del CENAN podría tener valores ligeramente diferentes basados en análisis específicos de muestras peruanas.

Te recomiendo consultar directamente la TPCA oficial del CENAN para obtener el dato certificado.",368.0,4.843304843304843,17.0,0.22325323338194708,2648.085099997843,Excelente,4706.0,21.0,202.0,71.0,255.0,211.0,0.5174,10.0,contexto,claude-haiku-4-5-20251001
"Dame el perfil completo de macronutrientes de la quinua: proteínas, grasas y carbohidratos.",351,"La quinua por 100g aporta 351 kcal, 13.6g de proteínas de alto valor biológico, 5.8g de grasas totales y 66.6g de carbohidratos según la TPCA CENAN/INS. Contiene los 9 aminoácidos esenciales. Su fibra dietaria de 5.9g favorece el control glucémico.","La quinua contiene 351 kcal por 100g según la TPCA CENAN/INS. Aquí tienes el perfil completo de macronutrientes:

- **Proteínas:** 13.6g
- **Grasas:** 5.8g
- **Carbohidratos totales:** 66.6g

Este perfil nutricional la convierte en una excelente opción para incluir en tu dieta, especialmente para el manejo de la diabetes tipo 2.",360.0,2.564102564102564,9.0,0.30077359930047726,9610.333900000114,Excelente,"Calorías: 368 kcal  
La quinua es un pseudocereal que contiene aproximadamente 14 gramos de proteínas, 6 gramos de grasas y 64 gramos de carbohidratos por cada 100 gramos de quinua cocida. Es una excelente fuente de proteínas de alta calidad, ya que contiene todos los aminoácidos esenciales. Además, es rica en fibra y minerales como el hierro y el magnesio. Sin embargo, los valores pueden variar ligeramente según la preparación y la variedad de quinua.",368.0,4.843304843304843,17.0,0.280326106605172,5173.0420000021695,Excelente,"Calorías: 368 kcal

Por cada 100 gramos de quinua cruda, el perfil de macronutrientes es aproximadamente:

Proteínas: 14 gramos (una de las pocas plantas con proteína completa)
Grasas: 6 gramos (principalmente insaturadas)
Carbohidratos: 64 gramos (incluye 7 gramos de fibra)

Estos valores están basados en datos de composición nutricional estándar. La quinua destaca por ser una fuente vegetal rara de aminoácidos esenciales, lo que la hace especialmente valiosa para dietas vegetarianas y veganas.",368.0,4.843304843304843,17.0,0.19987789968116523,2229.8623000024236,Excelente,4688.0,96.0,201.0,104.0,255.0,168.0,0.5351,10.0,contexto,claude-haiku-4-5-20251001
¿Cuántas calorías tiene la quinua y por qué es recomendada para pacientes con diabetes tipo 2?,351,"La quinua contiene 351 kcal por 100g según la TPCA. Su índice glucémico es 53, moderado-bajo. Es RECOMENDADA para DM2 porque su alta proteína (13.6g) y fibra (5.9g) reducen el pico glucémico postprandial. Sustituye al arroz blanco (IG 73) como fuente de carbohidratos.","La quinua contiene 351 kcal por 100g según la TPCA CENAN/INS. 

Es recomendada para pacientes con diabetes tipo 2 por varias razones: 

1. **Índice Glucémico Bajo**: La quinua tiene un índice glucémico (IG) de 53, lo que significa que su consumo provoca un aumento gradual de la glucosa en sangre, evitando picos bruscos que pueden ser perjudiciales para el control de la diabetes.

2. **Alto Contenido de Fibra**: Contiene 5.9g de fibra por cada 100g, lo que ayuda a mejorar la digestión y a regular los niveles de azúcar en sangre, ya que la fibra ralentiza la absorción de carbohidratos.

3. **Proteínas de Calidad**: La quinua es una fuente de proteína vegetal (13.6g por 100g), lo que contribuye a la saciedad y ayuda a mantener la masa muscular, especialmente importante en el manejo de la diabetes.

4. **Nutrientes Esenciales**: Aporta minerales como hierro, calcio y fósforo, que son importantes para la salud general.

Por estas razones, la quinua es un alimento muy beneficioso para quienes manejan la diabetes tipo 2.",351.0,0.0,0.0,0.2869521751365938,11079.133100000035,Excelente,"Calorías: 368 kcal  
La quinua es un pseudocereal que contiene aproximadamente 368 calorías por cada 100 gramos. Es recomendada para pacientes con diabetes tipo 2 porque tiene un bajo índice glucémico, lo que significa que no provoca picos rápidos en los niveles de azúcar en sangre. Además, es rica en fibra y proteínas, lo que ayuda a mantener la saciedad y controlar el apetito. También aporta nutrientes esenciales como magnesio y hierro.",368.0,4.843304843304843,17.0,0.13183908593473423,4468.770499999664,Excelente,"Calorías: 222 kcal

Por cada 100 gramos de quinua cocida contiene aproximadamente 222 calorías.

La quinua es recomendada para pacientes con diabetes tipo 2 por varias razones: tiene un índice glucémico bajo (alrededor de 53), lo que significa que no causa picos rápidos de glucosa en sangre. Es rica en fibra dietética, que ralentiza la absorción de azúcares y mejora el control glucémico. Además, contiene proteína completa con todos los aminoácidos esenciales, lo que favorece la saciedad y ayuda a mantener un peso saludable. También aporta magnesio y otros minerales que intervienen en la regulación del metabolismo de la glucosa.",222.0,36.75213675213676,129.0,0.15773253080416055,2353.2426999991003,Revisar,4625.0,264.0,203.0,99.0,256.0,191.0,0.5467,10.0,contexto,claude-haiku-4-5-20251001
¿Cuántas calorías tiene el tarwi o chocho crudo por 100 gramos?,399,El tarwi o chocho crudo contiene 399 kcal por 100g según la TPCA CENAN/INS 2025. Es el alimento andino con mayor contenido proteico: 47.0g de proteínas por 100g. Aporta 21.3g de grasas y solo 16.5g de carbohidratos.,El tarwi o chocho crudo contiene 349 kcal por 100g según la TPCA CENAN/INS.,92.0,76.94235588972431,307.0,0.42558332772714114,7804.785299998912,Revisar,"Calorías: 350 kcal  
El tarwi, también conocido como chocho, es una leguminosa rica en proteínas y nutrientes. Por cada 100 gramos de tarwi crudo, se estima que contiene aproximadamente 350 calorías. Este alimento es valorado en varias culturas por su alto contenido proteico y su capacidad para ser utilizado en diversas preparaciones culinarias.",350.0,12.280701754385964,49.0,0.12845405196062587,2536.4006999989215,Aceptable,"Calorías: 345 kcal

El tarwi o chocho es una legumbre andina originaria de Perú, Bolivia y Ecuador. Por cada 100 gramos de tarwi crudo, contiene aproximadamente 345 calorías.

Es una excelente fuente de proteína vegetal (alrededor del 46%), fibra y minerales como hierro y zinc. Antes de consumirlo, debe ser procesado adecuadamente para eliminar los alcaloides amargos mediante remojo y cocción.

Nota: Esta información se basa en datos nutricionales estándar de legumbres andinas, pero no tengo acceso a tablas TPCA específicas para el tarwi.",345.0,13.533834586466165,54.0,0.15404602123088024,2602.924599999824,Aceptable,4457.0,26.0,199.0,77.0,251.0,174.0,0.4095,10.0,contexto,claude-haiku-4-5-20251001
¿Cuántas proteínas y calorías tiene el tarwi? ¿Es bueno como fuente proteica para diabéticos?,399,"El tarwi contiene 399 kcal y 47.0g de proteínas por 100g, siendo la leguminosa andina más proteica según la TPCA. Su índice glucémico es 16, muy bajo. Es altamente RECOMENDADO para DM2 por su bajo impacto glucémico y alto aporte proteico.","El tarwi contiene 329 kcal por 100g según la TPCA CENAN/INS, y aporta 37.0g de proteínas. 

El tarwi es una excelente fuente de proteína vegetal para personas con diabetes tipo 2. Tiene un Índice Glucémico (IG) muy bajo de 15, lo que significa que no provoca picos significativos en los niveles de glucosa en sangre. Además, su alto contenido de fibra (18g por 100g) ayuda a ralentizar la absorción de glucosa, favoreciendo un mejor control de la glucemia. 

Incorporar tarwi en tu dieta puede ser una opción saludable y nutritiva. ¡Excelente decisión!",115.0,71.17794486215539,284.0,0.22612593900355815,8905.631199999334,Revisar,"Calorías: 350 kcal  
El tarwi, también conocido como chocho o lupino, es una legumbre rica en proteínas, con aproximadamente 36 gramos de proteína por cada 100 gramos. Es una buena fuente de proteínas para diabéticos, ya que tiene un bajo índice glucémico y puede ayudar a controlar los niveles de azúcar en sangre. Además, contiene fibra, lo que favorece la saciedad y la salud digestiva. Sin embargo, siempre es recomendable consultar a un profesional de la salud antes de hacer cambios en la dieta.",350.0,12.280701754385964,49.0,0.1542546201007123,3401.7015999997966,Aceptable,"Calorías: 286 kcal

El tarwi (lupino andino) es una legumbre nutritiva con aproximadamente 286 kcal por 100g cocido. Contiene alrededor de 13-14g de proteína por 100g, lo que lo convierte en una buena fuente proteica vegetal.

Para diabéticos es beneficioso porque tiene bajo índice glucémico, es rico en fibra (que ralentiza la absorción de glucosa) y proteína (que ayuda a la saciedad). Sin embargo, es moderadamente calórico, así que las porciones deben ser controladas.

Nota: Estos valores son aproximados basados en datos nutricionales generales de legumbres. Te recomiendo verificar con tablas TPCA locales o un nutricionista para datos más precisos según tu región.",286.0,28.32080200501253,113.0,0.16596987324438198,2590.902300002199,Revisar,3998.0,144.0,203.0,112.0,260.0,207.0,0.5486,10.0,contexto,claude-haiku-4-5-20251001
¿Cuántas calorías tiene el tarwi ya cocido y desamargado? ¿Puede comerlo un diabético?,115,"El tarwi cocido y desamargado contiene 115 kcal por 100g según la TPCA. Aporta 15.6g de proteínas, 7.1g de grasas y 9.1g de carbohidratos. Su índice glucémico es 16, muy bajo. RECOMENDADO ampliamente para pacientes con DM2.","No tengo el dato exacto en la TPCA sobre las calorías del tarwi ya cocido y desamargado. Sin embargo, el tarwi (también conocido como chocho o lupino) tiene un Índice Glucémico (IG) de 15, lo que lo clasifica como un alimento con IG muy bajo, recomendado para personas con diabetes. 

El tarwi es una excelente fuente de proteína vegetal y fibra, lo que ayuda a ralentizar la absorción de glucosa en el organismo. Por lo tanto, sí, un diabético puede consumirlo, siempre en porciones adecuadas y dentro de un plan de alimentación equilibrado. ¡Es una buena opción para incluir en tu dieta!",328.0,185.2173913043478,213.0,0.18677589019752922,8448.813499999233,Revisar,"Calorías: 140 kcal  
El tarwi, también conocido como chocho o lupino, tiene aproximadamente 140 kcal por cada 100 gramos cocidos y desamargados. Es una buena fuente de proteínas y fibra, lo que lo convierte en un alimento adecuado para diabéticos, ya que ayuda a mantener estables los niveles de azúcar en sangre. Sin embargo, siempre es recomendable que las personas con diabetes consulten a un profesional de la salud antes de hacer cambios en su dieta.",140.0,21.73913043478261,25.0,0.12914310766835096,2931.7283000018506,Revisar,"Calorías: 99 kcal

El tarwi cocido y desamargado (por cada 100 gramos) contiene aproximadamente 99 calorías. Es una legumbre andina rica en proteína vegetal y fibra.

Para diabéticos, el tarwi es una opción relativamente favorable porque tiene un índice glucémico bajo gracias a su contenido de fibra y proteína, que ralentizan la absorción de glucosa. Sin embargo, debe consumirse en porciones controladas y dentro de un plan nutricional personalizado.

Se recomienda que cualquier diabético consulte con su médico o nutricionista antes de incluirlo regularmente en su dieta, ya que la respuesta glucémica puede variar según el individuo.",99.0,13.91304347826087,16.0,0.1721926405374493,3244.037799999205,Aceptable,4425.0,147.0,206.0,101.0,260.0,184.0,0.5414,10.0,contexto,claude-haiku-4-5-20251001
¿Cuántas calorías tiene la cebada con cáscara por 100 gramos según la TPCA?,284,"La cebada con cáscara contiene 284 kcal por 100g según la TPCA CENAN/INS. Aporta 8.4g de proteínas, 2.0g de grasas y 77.5g de carbohidratos. Tiene 17.3g de fibra dietaria, la más alta entre los cereales evaluados.",La cebada con cáscara contiene 284.0 kcal por 100g según la TPCA CENAN/INS.,284.0,0.0,0.0,0.4691698620537924,8900.847299999441,Excelente,"Calorías: 352 kcal  
La cebada con cáscara contiene aproximadamente 352 calorías por cada 100 gramos, según la Tabla de Composición de Alimentos (TPCA). Este cereal es una buena fuente de fibra y nutrientes, lo que lo convierte en una opción saludable para incluir en la dieta. Además, puede ser utilizado en diversas preparaciones culinarias.",352.0,23.943661971830984,68.0,0.19882276094618748,2556.4967000027536,Revisar,"Calorías: 354 kcal

La cebada con cáscara (también llamada cebada integral) contiene aproximadamente 354 kcal por cada 100 gramos según datos de composición de alimentos. Este valor corresponde al grano entero sin procesar, que mantiene su fibra y nutrientes. La cebada es una buena fuente de carbohidratos complejos, fibra dietética y proteína vegetal. Si necesitas datos específicos de la TPCA chilena, te recomiendo consultar directamente su base de datos oficial, ya que las variaciones entre tablas pueden ser mínimas pero existentes.",354.0,24.647887323943664,70.0,0.22931321023836496,2094.79680000004,Revisar,4646.0,27.0,202.0,77.0,257.0,158.0,0.553,10.0,contexto,claude-haiku-4-5-20251001
¿Cuánta fibra y calorías tiene la cebada? ¿Cuál es su índice glucémico?,284,"La cebada contiene 284 kcal y 17.3g de fibra por 100g según la TPCA. Su índice glucémico es 28, muy bajo. La alta fibra beta-glucano reduce el pico glucémico postprandial hasta un 30%. RECOMENDADO para DM2.","La cebada contiene 284 kcal por 100g según la TPCA CENAN/INS. Además, tiene 17.3g de fibra dietaria y un Índice Glucémico (IG) de 28, lo que la clasifica como un alimento de IG bajo, recomendado para personas con diabetes.",284.0,0.0,0.0,0.36169863650506756,7870.1500999995915,Excelente,"Calorías: 354 kcal  
La cebada contiene aproximadamente 17 gramos de fibra por cada 100 gramos. Su índice glucémico es relativamente bajo, alrededor de 25 a 30, lo que la convierte en una buena opción para mantener niveles estables de azúcar en sangre. Sin embargo, los valores exactos pueden variar según la preparación y el tipo de cebada. No tengo acceso a datos TPCA para proporcionar información más específica.",354.0,24.647887323943664,70.0,0.23082088184872981,2866.1393000002136,Revisar,"Calorías: 354 kcal

La cebada cocida (por 100g) contiene aproximadamente 354 calorías y 3.8g de fibra dietética. Es una excelente fuente de fibra soluble, especialmente beta-glucanos, que ayudan a regular el colesterol y la glucosa en sangre.

Su índice glucémico es bajo a medio (IG: 28-48 según la variedad y preparación). Esto significa que libera glucosa lentamente, lo que la hace beneficiosa para el control de azúcar en sangre.

La cebada es un cereal integral muy nutritivo, rico en minerales como magnesio y manganeso. Estos datos provienen de bases de datos nutricionales estándar, aunque pueden variar ligeramente según el tipo de cebada y método de cocción.",354.0,24.647887323943664,70.0,0.24429434864247473,2626.8053999992844,Revisar,4761.0,66.0,201.0,91.0,257.0,207.0,0.541,10.0,contexto,claude-haiku-4-5-20251001
¿Cuántas calorías tiene la cebada comparada con el arroz? ¿Cuál es mejor para un diabético?,284,"La cebada tiene 284 kcal/100g con IG 28, mientras el arroz pilado tiene 115 kcal cocido con IG 73. La cebada es SUPERIOR para DM2 por su menor índice glucémico y mayor fibra (17.3g vs 0.3g). Sustituir arroz por cebada reduce el pico glucémico postprandial significativamente.","La cebada contiene 284 kcal por 100g según la TPCA CENAN/INS. En comparación, el arroz blanco cocido contiene aproximadamente 130 kcal por 100g. 

En cuanto a cuál es mejor para un diabético, la cebada es una opción más favorable. Tiene un Índice Glucémico (IG) de 28, lo que la clasifica como un alimento de IG bajo, mientras que el arroz blanco tiene un IG más alto, alrededor de 73. Esto significa que la cebada provoca un aumento más gradual de la glucosa en sangre en comparación con el arroz.

Además, la cebada es rica en fibra (17.3g por 100g), lo que ayuda a mejorar el control glucémico y la saciedad. Por lo tanto, la cebada es una mejor opción para personas con diabetes tipo 2.",284.0,0.0,0.0,0.30686374459901783,9093.916899997566,Excelente,"Calorías: 352 kcal  
La cebada tiene aproximadamente 352 calorías por cada 100 gramos, mientras que el arroz blanco tiene alrededor de 130 calorías por la misma cantidad. En términos de índice glucémico, la cebada es generalmente mejor para los diabéticos, ya que tiene un índice glucémico más bajo que el arroz, lo que significa que provoca un aumento más gradual de los niveles de azúcar en sangre. Además, la cebada es rica en fibra, lo que también puede ayudar a controlar los niveles de glucosa.",352.0,23.943661971830984,68.0,0.19258826002159743,3471.121700000367,Revisar,"Calorías: 354 kcal

La cebada tiene aproximadamente 354 kcal por 100g cocida, mientras que el arroz blanco tiene alrededor de 130 kcal por 100g cocida. En términos de calorías totales, el arroz es más ligero.

Para diabéticos, la cebada es generalmente mejor opción. Tiene un índice glucémico más bajo (IG ~25) comparado con el arroz blanco (IG ~70), lo que significa que eleva menos rápidamente la glucosa en sangre. La cebada también contiene más fibra soluble, que ayuda a controlar los niveles de azúcar.

El arroz integral es una alternativa mejor que el blanco para diabéticos, pero aún así la cebada mantiene ventajas nutricionales superiores en este aspecto.",354.0,24.647887323943664,70.0,0.2626336973863881,2456.8681999990076,Revisar,4604.0,179.0,204.0,113.0,259.0,212.0,0.4853,10.0,contexto,claude-haiku-4-5-20251001
¿Cuántas calorías tiene la avena en hojuela cruda por 100 gramos?,333,"La avena en hojuela cruda contiene 333 kcal por 100g según la TPCA CENAN/INS. Aporta 13.3g de proteínas, 4.0g de grasas y 72.2g de carbohidratos. Tiene 10.6g de fibra dietaria (beta-glucano).",La avena en hojuela cruda contiene 333.0 kcal por 100g según la TPCA CENAN/INS.,347.0,4.2042042042042045,14.0,0.4814898002870516,6860.972000002221,Excelente,"Calorías: 389 kcal  
La avena en hojuela cruda contiene aproximadamente 389 calorías por cada 100 gramos. Es un alimento rico en carbohidratos complejos, fibra y proteínas, lo que la convierte en una opción nutritiva para el desayuno o como parte de una dieta equilibrada. Además, es una buena fuente de vitaminas y minerales.",389.0,16.816816816816818,56.0,0.17615283697936485,2162.173699998675,Aceptable,"Calorías: 389 kcal

La avena en hojuelas cruda contiene aproximadamente 389 calorías por cada 100 gramos. Este valor puede variar ligeramente según la marca y el procesamiento, pero generalmente oscila entre 385-395 kcal por 100g.

La avena es rica en carbohidratos complejos, fibra soluble (beta-glucanos) y proteína vegetal. Es un alimento muy nutritivo que proporciona saciedad y energía sostenida. Cuando se cocina con agua o leche, el contenido calórico por porción disminuye debido a la dilución, aunque las calorías totales del producto seco permanecen igual.",389.0,16.816816816816818,56.0,0.13926790484000207,2319.3385999984457,Aceptable,4622.0,29.0,200.0,76.0,251.0,177.0,0.3944,10.0,contexto,claude-haiku-4-5-20251001
